City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,oranjemund,-28.55,16.4333,16.04,88,87,8.33,NA,1701211116
82,lata,40.1629,-8.3327,16.56,96,95,1.95,PT,1701211116
83,chibougamau,49.9168,-74.3659,-6.21,86,100,4.63,CA,1701211116
84,porto novo,6.4965,2.6036,27.9,85,78,3.88,BJ,1701211116
85,kill devil hills,36.0307,-75.676,7.77,49,40,6.69,US,1701211034
86,ilulissat,69.2167,-51.1,-5.99,45,82,10.8,GL,1701211117
87,labrador city,52.9463,-66.9114,-7.05,86,75,0.0,CA,1701211117
88,wyndham,37.6985,-77.6125,3.73,34,0,6.69,US,1701211117
89,port augusta,-32.5,137.7667,18.52,64,90,7.17,AU,1701211118
90,nuriootpa,-34.4833,139.0,18.64,80,88,4.23,AU,1701211118
91,college,64.8569,-147.8028,-6.97,89,75,4.12,US,1701211118
92,port elizabeth,-33.918,25.5701,17.4,84,20,8.23,ZA,1701211118
93,ust-nera,64.5667,143.2,-21.57,99,100,1.41,RU,1701211119
94,bonny,4.4522,7.1681,26.82,82,100,3.94,NG,1701211119
95,coari,-4.085,-63.1414,26.4,73,96,1.29,BR,1701211119
96,inirida,3.8653,-67.9239,27.06,74,61,0.99,CO,1701211119
97,bandarbeyla,9.4942,50.8122,25.71,68,98,8.79,SO,1701211119
98,lihue,21.9789,-159.3672,21.77,88,100,5.14,US,1701211120
99,kodiak,57.79,-152.4072,4.73,81,100,7.2,US,1701211120
100,bikenibeu village,1.3673,173.1241,29.98,79,40,1.54,KI,1701211120
101,pisco,-13.7,-76.2167,21.03,78,0,11.83,PE,1701211120
102,boa vista,2.8197,-60.6733,30.99,51,20,5.66,BR,1701211121
103,manakara,-22.1333,48.0167,23.59,82,62,4.18,MG,1701211121
104,nemuro,43.3236,145.575,0.08,63,28,13.01,JP,1701211121
105,waitangi,-43.9535,-176.5597,14.34,92,95,3.58,NZ,1701211121
106,broken hill,-31.95,141.4333,18.31,65,50,8.69,AU,1701211121
107,limon,10.0,-83.0333,27.94,83,75,2.57,CR,1701211122
108,antsiranana,-12.2787,49.2917,24.85,86,70,3.95,MG,1701211122
109,hays,30.0502,-98.0336,16.23,33,25,1.79,US,1701211122
110,hammerfest,70.6634,23.6821,0.25,80,75,5.66,NO,1701211122
111,spas-demensk,54.4122,34.0226,-12.2,99,92,2.42,RU,1701211122
112,windham,41.8334,-72.0001,-0.01,49,37,1.34,US,1701211123
113,fiambala,-27.6871,-67.6149,29.32,35,0,4.69,AR,1701211123
114,troitsko-pechorsk,62.7084,56.1964,-10.73,91,87,2.24,RU,1701211123
115,mpika,-11.8343,31.4529,18.75,83,94,1.23,ZM,1701211123
116,aasiaat,68.7098,-52.8699,-9.72,66,98,9.04,GL,1701211123
117,papatowai,-46.5619,169.4708,11.16,54,87,5.8,NZ,1701211124
118,aykhal,66.0,111.5,-17.13,95,100,6.62,RU,1701211124
119,macia,-25.0269,33.0989,23.33,75,33,1.03,MZ,1701211124
120,nizao,18.25,-70.2,29.04,78,7,3.44,DO,1701211124
121,lorengau,-2.0226,147.2712,28.87,71,100,1.15,PG,1701211124
122,mejit,10.2753,170.8646,27.13,73,96,7.41,MH,1701211125
123,atafu village,-8.5421,-172.5159,26.44,85,100,6.96,TK,1701211125
124,jamestown,42.097,-79.2353,-2.23,94,100,6.17,US,1701210942
125,lazarevskoye,43.9061,39.3331,7.28,60,69,6.69,RU,1701211125
126,bayganin,48.6947,55.8742,-0.33,71,100,7.83,KZ,1701211125
127,rafraf,37.1904,10.1837,16.17,77,79,7.96,TN,1701211126
128,alofi,-19.0595,-169.9187,28.94,65,75,4.63,NU,1701211126
129,nova sintra,14.8667,-24.7167,21.49,73,7,5.6,CV,1701211126
130,hermanus,-34.4187,19.2345,17.12,70,59,3.73,ZA,1701211126
131,santa fe,-31.6333,-60.7,30.0,67,8,2.68,AR,1701211126
132,lycksele,64.5954,18.6735,-4.76,86,100,4.12,SE,1701210942
133,novaya igirma,57.1334,103.9112,-22.56,100,30,0.82,RU,1701211127
134,brisas de zicatela,15.8369,-97.0419,30.29,51,0,4.12,MX,1701211127
135,gemena,3.25,19.7667,21.64,99,100,0.99,CD,1701211127
136,hithadhoo,-0.6,73.0833,27.72,77,96,4.5,MV,1701211127
137,zharkent,44.1628,80.0,7.05,47,8,0.96,KZ,1701211128
138,chernyshevsk,52.5243,117.0174,-23.44,96,87,0.22,RU,1701211128
139,mizdah,31.4451,12.9801,12.62,36,45,3.8,LY,1701211128
140,vorgashor,67.5833,63.95,-12.84,90,100,3.01,RU,1701211128
141,ulladulla,-35.35,150.4667,19.41,95,100,9.4,AU,1701211128
142,caleta olivia,-46.4393,-67.5281,18.96,29,46,14.04,AR,1701211129
143,peniche,39.3558,-9.3811,17.94,94,78,5.34,PT,1701211129
144,punta arenas,-53.15,-70.9167,10.06,50,20,11.32,CL,1701211129
145,fort st. john,56.2499,-120.8529,4.94,56,20,9.26,CA,1701211129
146,new norfolk,-42.7826,147.0587,13.73,85,98,2.11,AU,1701211129
